"","song","n","unique","proportion","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","album","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","class"
"11","Child's Play",664,205,0.308734939759036,0.00903614457831325,0.00753012048192771,0.00451807228915663,0.00602409638554217,0.0105421686746988,0.0120481927710843,0.016566265060241,0.00301204819277108,0.00301204819277108,0.00903614457831325,"Views",0.482,0.197,160.027,0.231,0.0173,7.1e-06,4,0.691,1,241400,-11.14,0.305,1,"New Drake"
"12","Company",573,204,0.356020942408377,0.0087260034904014,0.0087260034904014,0.0087260034904014,0.00523560209424084,0.0087260034904014,0.0174520069808028,0.0139616055846422,0.00523560209424084,0.00523560209424084,0.00698080279232112,"IYRTITL",0.55,0.165,107.571,0.0496,0.0403,0,4,0.651,7,252640,-8.216,0.119,1,"New Drake"
"13","Controlla",431,161,0.373549883990719,0.00928074245939675,0.00696055684454756,0.00696055684454756,0.00696055684454756,0.0116009280742459,0.0255220417633411,0.0208816705336427,0.0139211136890951,0.00232018561484919,0.00928074245939675,"Views",0.476,0.113,122.976,0.249,0.0773,0,5,0.607,10,245227,-11.076,0.347,0,"New Drake"
"14","Do Not Disturb",662,320,0.483383685800604,0.0120845921450151,0.0120845921450151,0.0105740181268882,0.0105740181268882,0.00906344410876133,0.0196374622356495,0.027190332326284,0.0120845921450151,0.0120845921450151,0.013595166163142,"More Life",0.693,0.112,170.982,0.45,0.246,0,4,0.618,7,283551,-5.943,0.454,0,"New Drake"
"15","Elevate",369,182,0.493224932249323,0.010840108401084,0.013550135501355,0.010840108401084,0.010840108401084,0.016260162601626,0.013550135501355,0.029810298102981,0.00542005420054201,0.010840108401084,0.02710027100271,"Scorpion",0.47,0.118,76.056,0.139,0.0153,0,4,0.755,1,184960,-8.72,0.0604,1,"New Drake"
"16","Emotionless",618,280,0.453074433656958,0.00809061488673139,0.00809061488673139,0.00647249190938511,0.00809061488673139,0.0145631067961165,0.0226537216828479,0.0275080906148867,0.0113268608414239,0.00809061488673139,0.0161812297734628,"Scorpion",0.676,0.0811,173.478,0.213,0.0239,0,4,0.413,1,302173,-5.124,0.0827,1,"New Drake"
"17","Energy",521,191,0.366602687140115,0.00575815738963532,0.00767754318618042,0.00191938579654511,0.00191938579654511,0.00383877159309021,0.0115163147792706,0.0134357005758157,0.00191938579654511,0.00575815738963532,0.00959692898272553,"IYRTITL",0.571,0.534,172.105,0.478,0.38,0,4,0.748,11,181933,-7.916,0.553,1,"New Drake"
"18","Faithful",537,182,0.338919925512104,0.0111731843575419,0.0111731843575419,0.00558659217877095,0.0074487895716946,0.00558659217877095,0.0167597765363128,0.0186219739292365,0.00931098696461825,0.0037243947858473,0.0111731843575419,"Views",0.446,0.323,99.979,0.162,0.104,1.01e-05,4,0.536,1,290133,-10.489,0.157,1,"New Drake"
"19","Fake Love",486,108,0.222222222222222,0.00205761316872428,0.00617283950617284,0.00205761316872428,0.00205761316872428,0.00617283950617284,0.00411522633744856,0.0123456790123457,NA,0.00205761316872428,0.00823045267489712,"More Life",0.481,0.176,134.007,0.287,0.105,0,4,0.928,9,210937,-9.35,0.613,0,"New Drake"
"20","Feel No Ways",342,110,0.321637426900585,0.00292397660818713,0.0116959064327485,NA,NA,0.00292397660818713,0.00292397660818713,0.0087719298245614,NA,0.00292397660818713,0.00584795321637427,"Views",0.673,0.116,193.668,0.162,0.032,6.38e-06,4,0.581,7,240653,-7.111,0.209,1,"New Drake"
"21","Final Fantasy",306,160,0.522875816993464,0.0163398692810458,0.0261437908496732,0.00980392156862745,0.0130718954248366,0.0228758169934641,0.0163398692810458,0.0457516339869281,0.00980392156862745,0.0130718954248366,0.0294117647058824,"Scorpion",0.449,0.115,86.505,0.442,0.428,8.29e-06,4,0.461,0,219960,-10.998,0.104,1,"New Drake"
"22","Finesse",188,95,0.50531914893617,0.0106382978723404,0.00531914893617021,0.00531914893617021,0.00531914893617021,0.00531914893617021,0.00531914893617021,0.0212765957446809,0.00531914893617021,NA,0.00531914893617021,"Scorpion",0.321,0.1,94.994,0.0571,0.132,0.000289,4,0.807,0,182080,-8.147,0.305,0,"New Drake"
"23","Fire & Desire",353,130,0.368271954674221,0.0028328611898017,0.0056657223796034,0.0028328611898017,0.0084985835694051,0.0113314447592068,0.0198300283286119,0.0339943342776204,0.0084985835694051,0.0113314447592068,0.0169971671388102,"Views",0.259,0.0855,79.839,0.0892,0.0803,0,4,0.709,1,238120,-14.341,0.265,0,"New Drake"
"24","Free Smoke",588,291,0.494897959183673,0.00680272108843537,0.0170068027210884,0.00680272108843537,0.00850340136054422,0.0119047619047619,0.0187074829931973,0.0272108843537415,0.00850340136054422,0.00340136054421769,0.0170068027210884,"More Life",0.491,0.571,141.979,0.439,0.0681,0,4,0.736,10,218674,-6.892,0.203,0,"New Drake"
"25","Glow",464,204,0.439655172413793,0.00646551724137931,0.0172413793103448,0.00862068965517241,0.0150862068965517,0.0172413793103448,0.0172413793103448,0.0344827586206897,0.00646551724137931,0.0107758620689655,0.0193965517241379,"More Life",0.384,0.708,162.097,0.375,0.2,0,4,0.688,9,206120,-8.824,0.432,0,"New Drake"
"26","God's Plan",362,141,0.389502762430939,0.00828729281767956,0.0165745856353591,0.00552486187845304,0.00828729281767956,0.0138121546961326,0.0138121546961326,0.0248618784530387,0.00828729281767956,0.00828729281767956,0.0110497237569061,"Scorpion",0.449,0.55,77.167,0.108,0.0329,7.84e-05,4,0.754,7,198973,-9.212,0.35,1,"New Drake"
"27","Grammys",660,223,0.337878787878788,0.0106060606060606,0.0151515151515152,0.00454545454545455,0.00454545454545455,0.00757575757575758,0.0166666666666667,0.0166666666666667,0.00303030303030303,0.00454545454545455,0.0106060606060606,"Views",0.44,0.0798,145.116,0.471,0.00175,2.73e-06,4,0.711,1,220427,-9.509,0.121,1,"New Drake"
