energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album,predictions
0.467,0.242,150.783,0.0622,0.762,0.0,4,0.391,8,229373,-7.4510000000000005,0.46799999999999997,1,audio_features,spotify:track:5fX5REubGobYCqH6obz3nn,With You,Lil Wayne,I Am Not A Human Being (Explicit Version),0.05824589610260089
0.76,0.184,89.958,0.0587,0.0678,0.0,4,0.69,0,247933,-4.7780000000000005,0.46799999999999997,1,audio_features,spotify:track:3q2NeHhnBXrsphLcY4Exxj,I Invented Sex [feat. Drake],Trey Songz,Ready,0.06171187594505326
0.632,0.10800000000000001,124.931,0.033,0.0133,0.0,4,0.672,8,255280,-6.426,0.501,0,audio_features,spotify:track:07EN1w6em5L8Lt3H5ARcSO,Love Me,Lil Wayne,Love Me,0.0646635583109084
0.843,0.434,153.877,0.135,0.201,0.0,4,0.462,4,202173,-4.9030000000000005,0.494,0,audio_features,spotify:track:1eVr0CjFAfnnrNLyn87llQ,We In This 1.5 (feat. Drake and Future),DJ Drama,We In This 1.5 (feat. Drake and Future),0.0657125928595691
0.7440000000000001,0.319,76.171,0.252,0.0029100000000000003,0.0,4,0.605,4,313400,-5.5,0.743,1,audio_features,spotify:track:2Vf9DiamkE8MHbjj1BXoKG,EveryGirl In The World,Young Money,We Are Young Money,0.06689178636132825
0.737,0.11599999999999999,81.475,0.188,0.83,0.0,4,0.439,0,225360,-8.123,0.631,1,audio_features,spotify:track:31FWGQxshq14SCZvvyHae1,The Resistance,Drake,Thank Me Later (Int'l Version),0.06895138917475148
0.925,0.174,104.855,0.35,0.248,0.0,5,0.45899999999999996,5,357920,-1.327,0.5329999999999999,0,audio_features,spotify:track:0Bpkq4z0VfjkO7kUME8gks,Forever,Drake,Forever,0.07060270770204825
0.894,0.188,162.19299999999998,0.33,0.0951,0.0,4,0.431,5,258760,-2.673,0.604,0,audio_features,spotify:track:1GxHeBvQ9935Dd3cSfsfBa,Best I Ever Had,Drake,Thank Me Later (Int'l Version),0.07269264830196953
0.95,0.163,151.955,0.213,0.0114,0.0,4,0.677,1,251760,-3.807,0.8009999999999999,1,audio_features,spotify:track:68m5wT9BdSUhl60HOhiZGE,Mo Milly,Birdman,Pricele$$ (UK Deluxe Edition Explicit),0.07310267353018855
0.674,0.415,130.585,0.225,0.0176,0.0,4,0.467,6,239187,-5.919,0.581,0,audio_features,spotify:track:2ukW8cSQW0qvMomTF7FkAS,No Lie,2 Chainz,No Lie (Explicit Version),0.08260513411164223
0.853,0.34,78.033,0.10400000000000001,0.0018899999999999998,0.0,4,0.629,0,320160,-4.36,0.373,1,audio_features,spotify:track:4dW8NOc0DGanKYnfNlIadn,Poppin Bottles (feat. Drake),T.I.,No Mercy,0.0829895876875342
0.838,0.127,88.052,0.212,0.337,0.0,4,0.529,8,238960,-2.6189999999999998,0.355,1,audio_features,spotify:track:2vJVj76Sn1L0M6gJhNihMH,"Two Birds, One Stone",Drake,"Two Birds, One Stone",0.08876388094254091
0.495,0.079,128.227,0.0889,0.5720000000000001,0.0,5,0.47,8,236880,-8.34,0.44299999999999995,1,audio_features,spotify:track:4UBVhw7F2XdieAtMntW4MU,Enough Said,Aubrey,Drank,0.09210600499209992
0.466,0.215,135.089,0.0512,0.7290000000000001,7.63e-06,4,0.321,9,212280,-8.163,0.19399999999999998,0,audio_features,spotify:track:4xsUpuoiYy06Of1LtLcz0G,Wednesday Night Interlude,Drake,If You're Reading This It's Too Late,0.09373956584722597
0.534,0.0919,91.97399999999999,0.0946,0.0752,0.0,4,0.725,11,219320,-6.2379999999999995,0.5579999999999999,1,audio_features,spotify:track:50R3hdsZQeg3k8zJdVphSZ,Work,Rihanna,ANTI,0.09631670039033713
0.861,0.0898,92.022,0.248,0.00591,0.0,4,0.498,2,274364,-2.495,0.23,1,audio_features,spotify:track:0rblsRyJ8ziZprfH9daK5P,Jodeci Freestyle,Champagne Pa,Even Closer To My Dreams,0.10440474332346836
0.701,0.193,145.346,0.188,0.183,0.0,4,0.603,11,373693,-4.495,0.603,0,audio_features,spotify:track:0OLgjNaWAxCMjOlglLQ0Dp,I Do It,2 Chainz,B.O.A.T.S. II #METIME,0.11016505739428627
0.85,0.142,152.102,0.25,0.047,0.0,4,0.48700000000000004,1,216333,-5.4270000000000005,0.523,1,audio_features,spotify:track:1sPLURKAosM3Jampgp9AWq,Sandra’s Rose,Drake,Scorpion,0.11667391307247121
0.715,0.106,92.93299999999999,0.261,0.142,0.0,4,0.733,1,311536,-5.614,0.8690000000000001,1,audio_features,spotify:track:3hDm6Z9TeSVRVpvi468hJR,Closer,Champagne Pa,Even Closer To My Dreams,0.11774600751712204
0.7709999999999999,0.11900000000000001,76.222,0.42,0.27899999999999997,0.0,4,0.499,8,328573,-4.851,0.748,1,audio_features,spotify:track:5Us8wh9hCAQ8Uq1ast5CWz,Thank Me Now,Drake,Thank Me Later (Int'l Version),0.11857281690596434
0.8390000000000001,0.0622,93.524,0.306,0.0662,0.0,4,0.579,10,114077,-7.232,0.7240000000000001,0,audio_features,spotify:track:206LpI7P45CdZQOM3KFLe3,Where To Now,Champagne Pa,Closer To My Dreams,0.1271353279101246
0.912,0.65,137.998,0.113,0.0596,0.0,4,0.7390000000000001,2,304880,-1.253,0.5820000000000001,1,audio_features,spotify:track:3i43sen71xwqz3nfy9fLus,Pop That,French Montana,Pop That,0.12891403396401022
0.578,0.353,133.03,0.0631,0.0095,0.0,4,0.708,6,258587,-8.686,0.696,1,audio_features,spotify:track:7vCWTZtxOcmgSEqndbVr5p,Money To Blow - Street Version,Birdman,Pricele$$ (UK Deluxe Edition Explicit),0.1305142446520737
0.6579999999999999,0.615,81.93299999999999,0.195,0.182,0.0,4,0.591,0,212347,-5.881,0.623,0,audio_features,spotify:track:51q0vXgCI2CW9x4K8SdfXS,Unusual - feat. Drake,Trey Songz,"Passion, Pain & Pleasure",0.13672187825192572
0.488,0.107,73.509,0.294,0.7809999999999999,0.0,5,0.38799999999999996,11,281678,-7.837000000000001,0.5479999999999999,0,audio_features,spotify:track:3uhzuJujperrebqY70RJG1,Trust Issues,Champagne Pa,Even Closer To My Dreams,0.13756131002295147
0.527,0.146,100.12,0.17300000000000001,0.185,0.0,4,0.435,9,211427,-8.057,0.28300000000000003,1,audio_features,spotify:track:2f3qhXIqyplACygV2R90cP,Waiting Up,Aubrey,Drank,0.1423587669488369
0.83,0.0755,150.049,0.21100000000000002,0.188,0.0,4,0.767,5,272438,-5.188,0.884,0,audio_features,spotify:track:73uciYJKxzPsweVrTXrdJj,Put It Down (feat. Drake),Drake,Trill O.G.,0.1469854810712357
0.884,0.503,81.14399999999999,0.401,0.22899999999999998,0.0,4,0.504,10,202240,-7.311,0.932,0,audio_features,spotify:track:0GjbslizkTJiMEPPPdsCBD,Barry Bonds,Champagne Pa,Closer To My Dreams,0.1496233652663071
0.6970000000000001,0.469,164.12599999999998,0.039,0.006529999999999999,0.0,4,0.45299999999999996,1,296040,-4.7589999999999995,0.0486,1,audio_features,spotify:track:4HGoHFPqYbUOVx9KPSRNMk,Champion,Nicki Minaj,Pink Friday ... Roman Reloaded,0.15195978467389773
0.758,0.141,140.02,0.26,0.34299999999999997,0.0,4,0.7120000000000001,9,266000,-4.835,0.903,1,audio_features,spotify:track:3KRsRqcimXCJ6uzVm6iPSx,Round Of Applause - feat. Drake,Waka Flocka Flame,Round Of Applause (feat. Drake),0.15391898987272248
0.852,0.13,113.619,0.25,0.307,0.0,5,0.519,1,247667,-6.696000000000001,0.551,0,audio_features,spotify:track:1pEDdOIbtqaFb72B3pOrsY,Throw It In The Bag - Remix,Fabolous,Mandated,0.16201718818048164
0.507,0.113,106.96700000000001,0.0919,0.41,0.000117,4,0.633,5,254480,-12.488,0.7490000000000001,0,audio_features,spotify:track:3iESHfoVBkzBt325gEYjJY,Where Were You,Aubrey,Drank,0.16218581629716244
0.48100000000000004,0.10099999999999999,107.806,0.0322,0.124,0.0,4,0.555,10,281320,-7.419,0.0981,0,audio_features,spotify:track:3ougl2AEOsSN6AX5MiFOxx,Now & Forever,Drake,If You're Reading This It's Too Late,0.17415094402706072
0.435,0.0978,119.819,0.0844,0.41200000000000003,0.0,4,0.541,9,419307,-9.302,0.39299999999999996,0,audio_features,spotify:track:4BDgGQXx7jO2JgC7bpFsIv,Shut It Down,Drake,Thank Me Later (Int'l Version),0.178161782687413
0.541,0.102,119.501,0.0426,0.0102,0.0,4,0.643,2,311197,-5.801,0.165,1,audio_features,spotify:track:5wUUWVRvrciJqFitZF8R0P,Recognize (feat. Drake),PARTYNEXTDOOR,PARTYNEXTDOOR TWO,0.18636249799600899
0.603,0.11,86.162,0.0944,0.728,0.0,4,0.531,7,282027,-6.242000000000001,0.228,1,audio_features,spotify:track:4o4wEDRqotccDTXiQ7TORu,Un-thinkable (I'm Ready) - Remix,Alicia Keys,Un-thinkable (I'm Ready) [Remix],0.1900018494805375
0.642,0.389,83.24600000000001,0.321,0.131,0.0,4,0.528,1,149577,-8.156,0.725,1,audio_features,spotify:track:4md7eAD6z2V4HJmQ3n4ZAI,Going In For Life,Champagne Pa,Closer To My Dreams,0.19095657540999192
