"","song","n","unique","proportion","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","album","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","class"
"11","Fireworks",697,278,0.398852223816356,0.0143472022955524,0.0215208034433286,0.0100430416068867,0.00860832137733142,0.0172166427546628,0.0186513629842181,0.0358680057388809,0.0100430416068867,0.0114777618364419,0.024390243902439,"Thank Me Later",0.756,0.162,89.453,0.356,0.434,0,4,0.52,0,313267,-6.472,0.533,1,"Old Drake"
"12","Headlines",597,226,0.3785594639866,0.0100502512562814,0.0150753768844221,0.0016750418760469,0.0100502512562814,0.0117252931323283,0.0201005025125628,0.0217755443886097,0.0184254606365159,0.0134003350083752,0.016750418760469,"Take Care",0.566,0.0917,151.894,0.106,0.365,0.000353,4,0.636,6,235987,-7.16,0.425,0,"Old Drake"
"13","Hold On, We're Going Home",342,72,0.210526315789474,0.00292397660818713,0.00292397660818713,NA,NA,0.0087719298245614,NA,0.0087719298245614,NA,0.00292397660818713,0.00292397660818713,"NWTS",0.404,0.0718,99.999,0.0949,0.00357,2.17e-05,4,0.773,6,227880,-7.438,0.287,0,"Old Drake"
"14","Houstatlantavegas",455,176,0.386813186813187,0.010989010989011,0.021978021978022,0.0043956043956044,0.00879120879120879,0.0175824175824176,0.021978021978022,0.0307692307692308,0.010989010989011,0.010989010989011,0.0153846153846154,"So Far Gone",0.576,0.205,135.312,0.0519,0.319,0.00509,4,0.699,1,289042,-9.304,0.425,0,"Old Drake"
"15","HYFR",600,234,0.39,0.015,0.0116666666666667,0.01,0.0133333333333333,0.0133333333333333,0.0183333333333333,0.02,0.0116666666666667,0.00833333333333333,0.00833333333333333,"Take Care",0.627,0.0795,98.21,0.252,0.123,0,3,0.444,7,206627,-8.744,0.359,0,"Old Drake"
"16","Karaoke",292,165,0.565068493150685,0.0171232876712329,0.023972602739726,0.00684931506849315,0.0171232876712329,0.0171232876712329,0.0273972602739726,0.0273972602739726,0.0136986301369863,0.0171232876712329,0.0136986301369863,"Thank Me Later",0.658,0.0805,151.026,0.11,0.00901,0.0189,4,0.756,0,227973,-7.124,0.954,1,"Old Drake"
"17","Light Up",671,317,0.472429210134128,0.0119225037257824,0.0238450074515648,0.00745156482861401,0.0163934426229508,0.0208643815201192,0.0283159463487332,0.0327868852459016,0.00894187779433681,0.00745156482861401,0.0208643815201192,"Thank Me Later",0.907,0.151,86.152,0.415,0.0946,0,4,0.484,8,274147,-5.996,0.206,1,"Old Drake"
"18","Look What You've Done",794,320,0.403022670025189,0.0151133501259446,0.0201511335012594,0.0100755667506297,0.0100755667506297,0.0163727959697733,0.0277078085642317,0.0302267002518892,0.0125944584382872,0.0100755667506297,0.0251889168765743,"Take Care",0.351,0.0967,134.369,0.34,0.485,0,4,0.495,3,301960,-14.669,0.271,0,"Old Drake"
"19","Lord Knows",802,382,0.476309226932668,0.0112219451371571,0.0187032418952618,0.0112219451371571,0.013715710723192,0.0224438902743142,0.0261845386533666,0.0411471321695761,0.0174563591022444,0.0112219451371571,0.0211970074812968,"Take Care",0.887,0.834,167.579,0.367,0.0786,0,4,0.417,5,307640,-5.551,0.303,0,"Old Drake"
"20","Make Me Proud",713,246,0.345021037868163,0.00981767180925666,0.0140252454417952,0.00841514726507714,0.0112201963534362,0.00981767180925666,0.0168302945301543,0.0210378681626928,0.00701262272089762,0.00420757363253857,0.0126227208976157,"Take Care",0.486,0.157,131.913,0.132,0.00268,0.000148,4,0.684,1,219893,-10.155,0.355,1,"Old Drake"
"21","Marvin's Room",602,223,0.370431893687708,0.00830564784053156,0.0149501661129568,0.00664451827242525,0.00664451827242525,0.0166112956810631,0.0166112956810631,0.0299003322259136,0.00830564784053156,0.00830564784053156,0.0182724252491694,"Take Care",0.26,0.0705,111.519,0.0921,0.646,0.00178,5,0.492,9,347227,-17.341,0.312,0,"Old Drake"
"22","Miss Me",876,342,0.39041095890411,0.0148401826484018,0.0114155251141553,0.00799086757990868,0.0136986301369863,0.0114155251141553,0.0171232876712329,0.0285388127853881,0.0045662100456621,0.00570776255707763,0.0148401826484018,"Thank Me Later",0.864,0.331,100.814,0.603,0.081,0,5,0.429,2,305520,-5.975,0.333,1,"Old Drake"
"23","Over",619,227,0.366720516962843,0.0145395799676898,0.0161550888529887,0.00646203554119548,0.00969305331179322,0.012924071082391,0.0193861066235864,0.0177705977382876,0.0113085621970921,0.00969305331179322,0.0113085621970921,"Thank Me Later",0.847,0.124,99.768,0.202,0.0107,0,5,0.39,4,233560,-5.611,0.448,0,"Old Drake"
"24","Over My Dead Body",637,271,0.425431711145997,0.0188383045525903,0.021978021978022,0.0125588697017268,0.0156985871271586,0.0172684458398744,0.0345368916797488,0.0251177394034537,0.0204081632653061,0.0141287284144427,0.0188383045525903,"Take Care",0.57,0.179,185.516,0.306,0.759,2.1e-06,4,0.489,1,272573,-10.291,0.584,1,"Old Drake"
"25","Own It",547,154,0.281535648994516,0.00914076782449726,0.00731261425959781,0.00182815356489945,0.0036563071297989,0.0109689213893967,0.00731261425959781,0.0127970749542962,0.0036563071297989,0.0036563071297989,0.0109689213893967,"NWTS",0.343,0.304,103.029,0.115,0.0496,4.13e-05,4,0.653,8,252053,-11.327,0.284,0,"Old Drake"
"26","Pound Cake / Paris Morton Music 2",1017,454,0.446411012782694,0.015732546705998,0.0167158308751229,0.00688298918387414,0.00983284169124877,0.0117994100294985,0.0206489675516224,0.0304818092428712,0.0108161258603736,0.00983284169124877,0.0186823992133727,"NWTS",0.755,0.114,93.685,0.5,0.139,1.37e-05,4,0.538,2,433800,-6.766,0.261,1,"Old Drake"
"27","Practice",566,153,0.270318021201413,0.0106007067137809,0.0106007067137809,0.00706713780918728,0.0106007067137809,0.0106007067137809,0.0141342756183746,0.0229681978798587,0.0106007067137809,0.00530035335689046,0.0159010600706714,"Take Care",0.239,0.12,104.675,0.0876,0.574,7.76e-05,4,0.446,1,237733,-15.327,0.31,1,"Old Drake"
