energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,title,artist,album
0.493,0.0666,140.007,0.128,0.0606,7.95e-05,4,0.834,5,252017,-6.567,0.28,0,audio_features,spotify:track:53HIIqV64NIKyyGllfKvzu,Both (feat. Drake & Lil Wayne) - Remix,Gucci Mane,Both (feat. Drake & Lil Wayne) [Remix]
0.405,0.0707,139.976,0.225,0.119,0.000118,4,0.85,7,190312,-7.509,0.344,0,audio_features,spotify:track:5tFep7dXGd7vEJ668wTPux,Both (feat. Drake),Gucci Mane,The Return of East Atlanta Santa
0.266,0.169,59.122,0.0945,0.596,0.0,4,0.491,6,215144,-15.626,0.368,1,audio_features,spotify:track:0ER8q7eFoMvabfw1S1oT7s,Brand New,Champagne Pa,Closer To My Dreams
0.318,0.111,151.968,0.403,0.234,5.08e-06,4,0.878,6,254779,-5.81,0.214,0,audio_features,spotify:track:6rNVR6kOZwn6Q3EW6tvkgi,Bring It Back (with Drake & Mike WiLL Made-It),Trouble,Bring It Back (with Drake & Mike WiLL Made-It)
0.543,0.505,102.01,0.112,0.412,0.0,4,0.711,0,150960,-12.692,0.801,1,audio_features,spotify:track:1ZyudLFv35SRvY5SvTZqJx,Buried Alive Interlude,Drake,Take Care (Deluxe)
0.735,0.239,120.154,0.0881,0.106,4.59e-06,4,0.692,8,272747,-5.132,0.333,1,audio_features,spotify:track:4FcvYEVtmB0UuIPbdzwqsH,Cabaret,Justin Timberlake,The 20/20 Experience - 2 of 2 (Deluxe)
0.638,0.11,160.158,0.896,0.828,0.000201,4,0.479,11,244645,-12.112,0.19,0,audio_features,spotify:track:1tcLxH1WhA2oORQKDUFsS4,The Calm,Drake,So Far Gone
0.403,0.13,139.92,0.147,0.255,1.27e-05,4,0.441,2,434960,-11.18,0.158,0,audio_features,spotify:track:2FbGlEPAjNhWvrVvlentVq,Cameras / Good Ones Go Interlude - Medley,Drake,Take Care (Deluxe)
0.432,0.0571,86.956,0.143,0.041,0.0,4,0.878,10,163973,-9.852,0.441,0,audio_features,spotify:track:7cfvP13Bqb1EyCZQiYsLum,Can’t Take A Joke,Drake,Scorpion
0.572,0.121,82.445,0.373,0.0136,1.55e-06,4,0.856,1,228438,-8.429,0.454,1,audio_features,spotify:track:7ol8W3NEydMmc0cEvD96Ts,Can't Have Everything,Drake,More Life
