"","song","n","unique","proportion","album","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","class","sentiment","emotion"
"34","Up All Night",620,233,0.375806451612903,"Thank Me Later",0.809,0.336,156.344,0.282,0.00778,1.62e-05,4,0.592,7,234333,-4.667,0.272,1,"Old Drake","anger",0.0129032258064516
"35","Uptown",960,322,0.335416666666667,"So Far Gone",0.754,0.212,128.012,0.269,0.00356,0,4,0.761,1,380575,-4.674,0.381,1,"Old Drake","anger",0.0135416666666667
"36","We'll Be Fine",643,248,0.385692068429238,"Take Care",0.488,0.64,193.397,0.422,0.00171,0,4,0.386,1,247947,-7.303,0.217,0,"Old Drake","anger",0.00933125972006221
"37","Worst Behavior",560,227,0.405357142857143,"NWTS",0.781,0.185,109.945,0.147,0.158,0,4,0.771,9,270200,-6.361,0.407,1,"Old Drake","anger",0.0125
"38","10 Bands",488,207,0.424180327868852,"IYRTITL",0.757,0.0762,172.938,0.384,0.262,1.72e-06,4,0.825,11,177733,-3.687,0.89,0,"New Drake","anger",0.0122950819672131
"39","4422",180,46,0.255555555555556,"More Life",0.229,0.113,111.887,0.0333,0.558,0.0413,4,0.61,11,186293,-12.36,0.19,0,"New Drake","anger",0.00555555555555556
"40","6 God",512,192,0.375,"IYRTITL",0.623,0.125,105.45,0.106,0.0248,0,4,0.859,2,180667,-8.596,0.482,1,"New Drake","anger",0.01953125
"41","6 Man",358,153,0.427374301675978,"IYRTITL",0.535,0.114,78.974,0.449,0.217,0,4,0.812,4,167653,-9.306,0.321,1,"New Drake","anger",0.00279329608938547
"42","6PM in New York",914,410,0.448577680525164,"IYRTITL",0.849,0.155,128.428,0.25,0.107,0,3,0.554,5,283307,-4.154,0.386,1,"New Drake","anger",0.0185995623632385
"43","8 Out Of 10",419,195,0.465393794749403,"Scorpion",0.684,0.499,170.416,0.717,0.164,0,4,0.534,11,195720,-7.874,0.338,0,"New Drake","anger",0.0214797136038186
"44","9",501,193,0.385229540918164,"Views",0.699,0.246,99.991,0.044,0.00113,0.000779,4,0.703,2,255787,-7.322,0.0393,1,"New Drake","anger",0.00998003992015968
"45","After Dark",584,240,0.410958904109589,"Scorpion",0.429,0.139,141.855,0.192,0.0386,0,4,0.65,2,289560,-13.071,0.333,1,"New Drake","anger",0.00856164383561644
"46","Blem",378,121,0.32010582010582,"More Life",0.535,0.0984,98.067,0.0476,0.0533,1.38e-05,4,0.726,7,216558,-7.804,0.375,0,"New Drake","anger",0.00793650793650794
"47","Can't Have Everything",565,293,0.51858407079646,"More Life",0.572,0.121,82.445,0.373,0.0136,1.55e-06,4,0.856,1,228438,-8.429,0.454,1,"New Drake","anger",0.0141592920353982
"48","Child's Play",664,205,0.308734939759036,"Views",0.482,0.197,160.027,0.231,0.0173,7.1e-06,4,0.691,1,241400,-11.14,0.305,1,"New Drake","anger",0.00903614457831325
